file,,name,include,copyright,copyrightLink,category,disputed,territory,all,,style,canton,star,emblemFlag,red white blue,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
18320070.svg,,Canadian Blue Ensign (1957 to 1965),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
39323125.svg,,Civil Air Ensign of Australia,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
01332676.svg,,Civil Air Ensign of Fiji,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
59921365.svg,,Civil Air Ensign of New Zealand,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
17405463.svg,,Civil Air Ensign of the United Kingdom,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
13633088.svg,,Civil Defence Service Flag,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
76800760.svg,,Civil Ensign of Australia,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
83983306.svg,,Civil Ensign of Fiji,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
82930312.svg,,Civil Ensign of Guernsey,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
65598242.svg,,Civil Ensign of Jersey,,copyright,"By Flag_of_Canada_1921.svg: User:HoshieJersey_coa.svg: User:PavelDderivative work: Orange Tuesday (talk) - Flag_of_Canada_1921.svgJersey_coa.svg, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=9975108",,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
58464037.svg,,Civil Ensign of New Zealand,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
70004986.svg,,Civil Ensign of the Isle of Man,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
71702715.svg,,Civil Ensign of the United Kingdom,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
03821237.svg,,Ensign of the Palestine Mandate (1927 to 1948),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
50392579.svg,,Ensign of the Palestine Mandate Customs and Postal Services (1929 to 1948),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
80968090.svg,,Flag of Aden (1937 to 1963),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
32787304.svg,,Flag of Antigua and Barbuda (1956 to 1962),,copyright,"By FOX 52 - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=57345291",historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
84257646.svg,,Flag of Ascension Island,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
74765238.svg,,Flag of Bermuda (1875 to 1910),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
13379811.svg,,Flag of British Guiana (1919 to 1955),,copyright,"By Sodacan - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=61478170",historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
61905923.svg,,Flag of British Honduras (1919 to 1981),,copyright,"By Heraldry - This W3C-unspecified vector image was created with Inkscape ., CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=7743108",historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
63864184.svg,,"Flag of Burma (1939 to 1941, to 1945 to 1948)",,copyright,"By Beao (original) - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=9475505",historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
98492700.svg,,Flag of Canada (1921 to 1957),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
68183163.svg,,Flag of Cyprus (1922 to 1960),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
72262941.svg,,Flag of Dominica (1965 to 1978),,copyright,"By Joins2003 - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=29723847",historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
29655856.svg,,Flag of Grenada (1903 to 1967),,copyright,"By Sodacan - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=73311958",historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
67757238.svg,,Flag of Her Majesty's Coastguard,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
73943887.svg,,Flag of Hong Kong (1959 to 1997),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
50076006.svg,,Flag of Jamaica (1957 to 1962),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
68546473.svg,,Flag of Kenya (1921 to 1963),,copyright,"By Oren neu dag - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=5182272",historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
11856313.svg,,Flag of Malta (1923 to 1943),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
44498610.svg,,Flag of Mauritius (1923 to 1968),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
01102493.svg,,Flag of Montserrat,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
57952695.svg,,Flag of New Zealand Police,,copyright,"By File:Flag_of_New_Zealand.svg:derivative work: Fry1989 eh? 21:52, 8 March 2012 (UTC) - This file was derived from: Flag of New Zealand.svg:, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=18634126",,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
57491638.svg,,Flag of Nigeria (1952 to 1960),,copyright,"By Fry1989 eh? - This vector image includes elements that have been taken or adapted from this file:, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=74752528",historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
09036145.svg,,Flag of North Borneo (1902 to 1946),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
30767482.svg,,Flag of Nyasaland (1919 to 1925),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
43433470.svg,,Flag of Rhodesia (1964 to 1968),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
07706729.svg,,Flag of Saint Lucia (1939 to 1967),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
48261296.svg,,Flag of Saint Vincent and the Grenadines (1907 to 1979),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
47133625.svg,,Flag of Seychelles (1961 to 1976),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
92702243.svg,,Flag of Sierra Leone (1916 to 1961),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
02190741.svg,,Flag of Singapore (1952 to 1959),,copyright,"By Fry1989 eh? - This vector image includes elements that have been taken or adapted from this file:, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=73756040",historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
83352693.svg,,Flag of South Georgia and the South Sandwich Islands,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
65811275.svg,,Flag of Southern Rhodesia (1924 to 1964),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
06330544.svg,,Flag of the Bahamas (1904 to 1923),,copyright,"By malarz pl - File:Flag of the Bahamas (1904-1953).svg and File:Flag of the Bahamas (1904-1923).png, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=29712461",historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
71001300.svg,,Flag of the British Antarctic Territory,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
23316605.svg,,Flag of the British East India Company (from 1801),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
57948291.svg,,Flag of the Federated Malay States (Civil Ensign),,copyright,"By MALS-malayan tiger (original) - This vector image includes elements that have been taken or adapted from this file:, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=58959632",historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
04343317.svg,,Flag of the Gold Coast (1877 to 1957),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
52192230.svg,,Flag of the Governor of Victoria,,copyright,"By Greentubing (original) - This SVG flag includes elements that have been taken or adapted from this flag:, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=582700",,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
90751018.svg,,Flag of the Pitcairn Islands,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
79245864.svg,,Flag of the Solomon Islands (1966 to 1977),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
39163213.svg,,Flag of the Territory of New Guinea,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
41405213.svg,,Flag of the Territory of Papua,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
90644060.svg,,Flag of the Turks and Caicos Islands,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
51259011.svg,,Flag of the Uganda Protectorate,,copyright,"By Sodacan - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=18900232",historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
91624325.svg,,Flag of the United States (1776 to 1777),,,none,historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
25694391.svg,,Flag of Trinidad and Tobago (1958 to 1962),,copyright,"By Tcfc2349 - derived from File:Government Ensign of the United Kingdom.svg and File:Arms of Trinidad and Tobago 1958-1962.svgreferenced from link, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=68893743",historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
33396470.svg,,Flag of Tristan da Cunha,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
56442065.svg,,Flag of Tuvalu (1976 to 1978),,copyright,"By Denelson83, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=5447480",historical,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
83502322.svg,,Government Ensign of Gibraltar,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
06635241.svg,,Government Ensign of Guernsey,,copyright,"By Fry1989 eh? - This vector image includes elements that have been taken or adapted from this file:, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=10837285",,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
42332151.svg,,Government Ensign of the United Kingdom,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
43725488.svg,,Government Ensign of Wales,,copyright,"By Original: Red Dragon Flagmakers Vector: BananaBork - Own work based on: Government Ensign of the United Kingdom.svg and Flag of Wales (1959–present).svg, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=91628443",,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
28013076.svg,,Government Service Ensign,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
45047157.svg,,Green Ensign,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
11286803.svg,,HM Customs Ensign,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
81389663.svg,,Naval Ensign of Australia,,,none,navalEnsign,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
00251950.svg,,Naval Ensign of Fiji,,,none,,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
41560946.svg,,Naval Ensign of New Zealand,,,none,navalEnsign,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
01565779.svg,,Naval Ensign of the United Kingdom,,,none,navalEnsign,,,,,unionJack,,,,,,,,,,allFiles,allFlags,
88250453.svg,,Mississippi,,copyright,"By Rocky Vaughn, Sue Anna Joe, Dominique Pugh, Clay Moss, Kara Giles, and the Mississippi Department of Archives and History - Own work using: https://www.mdah.ms.gov/msflag, Copyrighted free use, https://commons.wikimedia.org/w/index.php?curid=93776737",usa,,,,,,,,,,,,,,,allFiles,allFlags,
43412987.svg,,Abu Dhabi (UAE),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
73447828.svg,,Accra (Ghana),,copyright,"By Misteal3478 - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=105186470",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
66223272.svg,,Addis Abeba (Ethiopia),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
21147506.svg,,Amsterdam (Netherlands),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
63635125.svg,,Andorra la Vella (Andorra),,copyright,"By ???????-5-?????? - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=18594189",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
57006572.svg,,Antananarivo (Madagascar),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
51506434.jpg,,Asmara (Eritrea),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
97148243.svg,,Astana (Kazakhstan),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
01996503.svg,,Asunci√≥n (Paraguay),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
86501634.svg,,Baghdad (Iraq),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
59991878.svg,,Bahrain Capital Governorate (Bahrain),,copyright,"By Benji Frugoni - WonderFlags.pro, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=61897876",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
77021868.svg,,Baku (Azerbaijan),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
37681020.gif,,Bamako (Mali),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
48537660.svg,,Dili (East Timor),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
93162714.svg,,Sao Paulo (Brazil),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
95335315.png,,Lisbon (Portugal),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
35682011.png,,(Sao Tome) Sao Tome and Principe,,copyright,"Von Domaleixo - Eigenes Werk, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=8996861",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
96123204.svg,,Panama City (Panama),,copyright,"By Editorpana - Own work, CC BY 3.0, https://commons.wikimedia.org/w/index.php?curid=8732571",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
82924935.svg,,Buenos Aires (Argentina),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
79876868.svg,,Guatemala City (Guatemala),,copyright,"By This W3C-unspecified vector image was created with Adobe Illustrator. - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=22702068",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
50420219.svg,,Madrid (Spain),,copyright,"By Echando una mano - This vector image includes elements that have been taken or adapted from this file:, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=92975789",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
68709884.png,,Malabo (Equatorial Guinea),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
38651262.svg,,San Jose (Costa Rica),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
73337527.svg,,San Salvador (El Salvador),,copyright,"By Alcaldía de San Salvador (SVG version by Jarould) - This file was derived from:Escudo de San Salvador (2021).svg:Bandera de San Salvador (2015).svg:, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=104926318",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
05124937.svg,,Sucre (Bolivia),,copyright,"By HapHaxion - Own work (https://correodelsur.com/local/20200519_ley-ordena-utilizar-la-bandera-con-la-cruz-de-san-andres-como-simbolo-de-chuquisaca.html), CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=119561561",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
79198037.svg,,Bangkok (Thailand),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
93433828.svg,,Banjul (The Gambia),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
86942311.svg,,Beirut (Lebanon),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
86409197.svg,,Belgrade (Serbia),,copyright,"By The original uploader was Zscout370 at English Wikipedia. - Transferred from en.wikipedia to Commons by Sreejithk2000 using CommonsHelper., CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=10542479",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
09586830.svg,,Belmopan (Belize),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
02355469.svg,,Berlin (Germany),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
84032935.svg,,Sofia (Bulgaria),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
78440340.svg,,Bishkek (Kyrgyzstan),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
30566343.svg,,Bogota (Colombia),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
36733260.svg,,Bratislava (Slovakia),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
50002834.svg,,Brussels (Belgium),,copyright,"By Original: Eenjurg Vector: Rode raaf - File:Vlag van Brussel (stad).png, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=69366894",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
65652766.svg,,Bucharest (Romania),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
99454097.svg,,Budapest (Hungary),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
44084154.svg,,Cairo (Egypt),,copyright,"By PNG uploaded by Jean Körp, SVG created by Editor at Large - References for this description (or part of this) or for the depiction in the file are not provided.Reason: Commons:Deletion requests/File:Flag Egy Cairo.gif.Vectorisation of Flag of Cairo.png, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=1679825",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
72732395.svg,,Bern (Switzerland),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
95938236.svg,,Cape Town (South Africa),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
59723001.svg,,Caracas (Venezuela),,copyright,"By Salvadoroff - Own work based on:https://www.eluniversal.com/caracas/123295/consejo-municipal-de-caracas-aprobo-la-modificacion-del-escudo-himno-y-bandera-de-la-ciudadhttps://twitter.com/gestionperfecta/status/1516428492820336657?s=20&amp;t=yS_e7luWAFtsEqX8myD7Bw, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=116896881",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
90214269.svg,,Chisinau (Moldova),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
50392570.gif,,Copenhagen (Denmark),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
78795401.svg,,Dakar (Senegal),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
12233365.svg,,Damascus (Syria),,copyright,"By Siirski - Own work based on: Flag of Damascus.png:, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=107847498",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
61269743.svg,,Delhi (India),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
21039544.svg,,Ulaanbaatar (Mongolia),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
27324206.gif,,Funafuti (Tuvalu),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
46613929.png,,Georgetown (Guyana),,copyright,"By Georgetown City Hall - crwflags, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=109636515",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
11014282.svg,,Harare (Zimbabwe),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
93393472.svg,,Hargeisa (Somaliland),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
83257139.svg,,Helsinki (Finland),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
96186384.svg,,Honiara (Solomon Islands),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
70238951.svg,,Dublin (Ireland),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
24889676.svg,,Jakarta (Indonesia),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
02883674.svg,,Jerusalem (Israel),,copyright,"By Eslam - own work based on Image:Flag of Jerusalem realistic colors.png (transition to svg), CC BY-SA 2.5, https://commons.wikimedia.org/w/index.php?curid=1791652",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
08774163.png,,Juba (South Sudan),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
50220114.svg,,Kubul (Afghanistan),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
68623964.svg,,Kathmandu (Nepal),,copyright,"By The original uploader was Zscout370 at English Wikipedia. - Transferred from en.wikipedia to Commons., CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=2204319",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
86083364.gif,,Kingstan (Jamaica),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
96072762.svg,,Kinshasa (DR Congo),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
20294446.svg,,Kuala Lumpur (Malaysia),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
71900559.gif,,Kuwait City (Kuwait),,copyright,"By Tomislav ?ipek - https://www.fotw.info/flags/kw-kw.html, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=124282162",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
17450214.svg,,Kyiv (Ukraine),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
77085629.svg,,Libreville (Gabon),,copyright,"By Squiresy92; derivative work by Flagvisioner - File:Libreville_Coat_of_Arms.svg, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=119089577",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
11682181.svg,,Lima (Peru),,copyright,"By Huhsunqu - Own work,based upon Coat of arms of Lima.svg and Corona Real Abierta 2.svg., CC BY 3.0, https://commons.wikimedia.org/w/index.php?curid=6104965",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
02932248.svg,,Ljubljana (Slovenia),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
84251572.svg,,Luxembourg (Luxembourg),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
71506603.svg,,Majuro Atoll (Marshall Islands),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
66314647.svg,,Managua (Nicaragua),,copyright,"By Vrysxy - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=9473880",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
19972696.svg,,Manila (Philippines),,copyright,"By Philtro, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=15588572",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
22396660.png,,Maputo (Mozambique),,copyright,"CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=1296151",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
18410682.svg,,Mexico City (Mexico),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
76157020.svg,,Minsk (Belarus),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
31222771.svg,,Mogadishu (Somalia),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
40596594.svg,,Moscow (Russia),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
29838551.svg,,Muscat (Oman),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
68708449.svg,,Nairobi (Kenya),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
59010105.svg,,Naypyidaw (Myanmar),,copyright,"By Ninjastrikers - based on [1] and File:Flag of Naypyidaw Union Territory.png , retouched work by Ninjastrikers, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=116469096",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
08266879.svg,,Port Moresby (Papua New Guinea),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
58437958.svg,,Nicosia (Cyprus),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
08659075.svg,,Havana (Cuba),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
44205242.svg,,Oslo (Norway),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
82325779.svg,,Ottawa (Canada),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
92239978.svg,,Paris (France),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
27164288.svg,,Podgorica (Montenegro),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
86615971.svg,,Porto Novo (Benin),,copyright,"By Misteal3478 - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=105187300",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
72684569.svg,,Luanda (Angola),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
06976367.svg,,Port Louis (Mauritius),,copyright,"By Yashveer Poonit - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=31369477",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
95062214.gif,,Port of Spain (Trinidad and Tobago),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
57712151.gif,,Port Vila (Vanuatu),,copyright,"By Jens Pattke - https://www.crwflags.com/fotw/flags/vu-sh.html#pvila, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=120337995",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
51399940.svg,,Prague (Czech Republic),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
53263416.gif,,Praia (Cape Verde),,copyright,"By António Martins - https://www.crwflags.com/fotw/flags/cv-74.html, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=120341699",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
00700502.svg,,Pristina (Kosovo),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
45000529.svg,,Quito (Ecuador),,copyright,"Von Heralder, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=424802",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
55372773.svg,,Rabat (Morocco),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
89324614.svg,,Reykjavik (Iceland),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
14939919.svg,,Riga (Latvia),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
75867405.svg,,Rome (Italy),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
49535115.svg,,Vienna (Austria),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
86962516.svg,,Santiago de Chile (Chile),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
05699197.svg,,Santo Domingo (Dominican Republic),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
85314634.svg,,Sarajevo (Bosnia and Herzegovina),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
38711492.svg,,Seoul (South Korea),,,none,capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
10315806.svg,,Skopje (North Macedonia),,copyright,"By MacedonianBoy - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=35158763",capitalCities,,,,,,,,,,,,,,,allFiles,allFlags,
